,Unnamed: 0,id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,user,followers,friends,hashtags,place,coordinates,favorites,impressions,reach,engagement,engagement_rate,Nike
0,0,1443606610434220036,Thu Sep 30 16:00:11 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#adidasspzl X #cpcompany Cinquanta exhibition, opens tomorrow n Darwen who's going?
.
.
#adidasshoes #trefoil… https://t.co/RrbN9qmtWL",X Cinquanta exhibition opens tomorrow n Darwen 's going ..,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,7,0,"{'id': 4110081718, 'id_str': '4110081718', 'name': '3.stripes.4life', 'screen_name': '3_stripes4life', 'location': 'England', 'description': 'Showcasing everything that is Adidas New/Vintage.\nTag me for a repost.\nInstagram : 3.stripes4life / vtgadidasarchives', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 8537, 'friends_count': 76, 'listed_count': 14, 'created_at': 'Wed Nov 04 06:16:31 +0000 2015', 'favourites_count': 14531, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 8477, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1363830211205337088/wfqFRodt_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1363830211205337088/wfqFRodt_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4110081718/1544461698', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",8537,76,"adidasspzl, cpcompany, adidasshoes, trefoil",,England,,7,8613,0.0008127249506559852,0.08127249506559851,0
1,1,1443520941569478656,Thu Sep 30 10:19:46 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Upcoming Release:
#adidasmccarten 'Left Handers Rule' live on the adidas confirmed app. 
.
#adidasshoes #trefoil… https://t.co/1HkfuNkbIA",Upcoming Release 'Left Handers Rule live adidas confirmed app,"Sentiment(polarity=0.1787878787878788, subjectivity=0.5)",0.1787878787878788,0.5,en,4,0,"{'id': 4110081718, 'id_str': '4110081718', 'name': '3.stripes.4life', 'screen_name': '3_stripes4life', 'location': 'England', 'description': 'Showcasing everything that is Adidas New/Vintage.\nTag me for a repost.\nInstagram : 3.stripes4life / vtgadidasarchives', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 8537, 'friends_count': 76, 'listed_count': 14, 'created_at': 'Wed Nov 04 06:16:31 +0000 2015', 'favourites_count': 14531, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 8477, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1363830211205337088/wfqFRodt_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1363830211205337088/wfqFRodt_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4110081718/1544461698', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",8537,76,"adidasmccarten, adidasshoes, trefoil",,England,,4,8613,0.0004644142575177058,0.04644142575177058,0
2,2,1443246939441561601,Wed Sep 29 16:10:59 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @3_stripes4life: Original image used of @lukeshaw23 showcasing the upcoming #adidas X #cpcompany collaboration
.
Who's looking to try gr…",Original image used showcasing upcoming X collaboration.Who 's looking try gr,"Sentiment(polarity=0.375, subjectivity=0.75)",0.375,0.75,en,0,1,"{'id': 1217720467814936577, 'id_str': '1217720467814936577', 'name': 'Afiq Chalaat (ฉลาด)🏴🏳️', 'screen_name': 'afiqmohdrazif', 'location': '', 'description': 'i tweet things that i cannot say to people', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 225, 'friends_count': 233, 'listed_count': 0, 'created_at': 'Thu Jan 16 08:09:30 +0000 2020', 'favourites_count': 1905, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 12291, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1217720617635500032/g8xqG0Cj_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1217720617635500032/g8xqG0Cj_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",225,233,"adidas, cpcompany","3_stripes4life, LukeShaw23",,,1,458,0.002183406113537118,0.21834061135371177,0
3,3,1443210430202134536,Wed Sep 29 13:45:54 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Original image used of @lukeshaw23 showcasing the upcoming #adidas X #cpcompany collaboration
.
Who's looking to tr… https://t.co/gcROOoFeI9",Original image used showcasing upcoming X collaboration.Who 's looking tr,"Sentiment(polarity=0.375, subjectivity=0.75)",0.375,0.75,en,12,1,"{'id': 4110081718, 'id_str': '4110081718', 'name': '3.stripes.4life', 'screen_name': '3_stripes4life', 'location': 'England', 'description': 'Showcasing everything that is Adidas New/Vintage.\nTag me for a repost.\nInstagram : 3.stripes4life / vtgadidasarchives', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 8537, 'friends_count': 76, 'listed_count': 14, 'created_at': 'Wed Nov 04 06:16:31 +0000 2015', 'favourites_count': 14531, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 8477, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1363830211205337088/wfqFRodt_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1363830211205337088/wfqFRodt_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4110081718/1544461698', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",8537,76,"adidas, cpcompany",LukeShaw23,England,,13,8613,0.0015093463369325439,0.15093463369325438,0
4,4,1443206988020666371,Wed Sep 29 13:32:14 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sportswear – Adidas - BS Top Brands New Launches 2021

Yeezy Boost 700 V2
Color: Mauve/Mauve-Mauve
Style #: GZ0724… https://t.co/wwgy9557Pa",Sportswear Adidas BS Top Brands New Launches Yeezy Boost V2Color Mauve/Mauve-MauveStyle GZ0724,"Sentiment(polarity=0.3181818181818182, subjectivity=0.4772727272727273)",0.3181818181818182,0.4772727272727273,en,0,0,"{'id': 1012378242941095936, 'id_str': '1012378242941095936', 'name': 'Business Sight Media Magazine', 'screen_name': 'business_sight', 'location': 'Delaware, USA', 'description': 'Best Digital Business Magazine #OnlineMarketing, Digital and Print Publication, #BusinessArticles, #News, Top Inspiring #Entrepreneurs Stories & E-magazines.', 'url': 'https://t.co/YiEwuSb7KI', 'entities': {'url': {'urls': [{'url': 'https://t.co/YiEwuSb7KI', 'expanded_url': 'https://businesssightmedia.com/', 'display_url': 'businesssightmedia.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 377, 'friends_count': 543, 'listed_count': 1, 'created_at': 'Thu Jun 28 16:52:36 +0000 2018', 'favourites_count': 1055, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 15492, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1296771963684233216/C1sGg72Y_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1296771963684233216/C1sGg72Y_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1012378242941095936/1631186881', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",377,543,,,"Delaware, USA",,0,920,0.0,0.0,0
5,5,1442826155074023426,Tue Sep 28 12:18:56 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @3_stripes4life: If you live down under then here's your chance to grab the upcoming #adidasstockholm now live via early access over @ad…,If live 's chance grab upcoming live via early access,"Sentiment(polarity=0.12424242424242422, subjectivity=0.43333333333333335)",0.1242424242424242,0.4333333333333333,en,0,3,"{'id': 1310078931802845184, 'id_str': '1310078931802845184', 'name': 'Lois C. Bowen', 'screen_name': 'LoisC_Bowen', 'location': 'New York, Florida', 'description': ""I am a simple girl and most of the time I am busy with my work. I love listening to music and traveling when I'm free."", 'url': 'https://t.co/LK8rlGbVgO', 'entities': {'url': {'urls': [{'url': 'https://t.co/LK8rlGbVgO', 'expanded_url': 'https://bestshoesreviews.net', 'display_url': 'bestshoesreviews.net', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 53, 'friends_count': 35, 'listed_count': 1, 'created_at': 'Sun Sep 27 04:49:06 +0000 2020', 'favourites_count': 7403, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 7321, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1313461906162606081/zLlf4orU_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1313461906162606081/zLlf4orU_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1310078931802845184/1601988702', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",53,35,adidasstockholm,3_stripes4life,"New York, Florida",,3,88,0.03409090909090909,3.4090909090909087,0
6,6,1442753402711183361,Tue Sep 28 07:29:50 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @3_stripes4life: If you live down under then here's your chance to grab the upcoming #adidasstockholm now live via early access over @ad…,If live 's chance grab upcoming live via early access,"Sentiment(polarity=0.12424242424242422, subjectivity=0.43333333333333335)",0.1242424242424242,0.4333333333333333,en,0,3,"{'id': 1160996761370071046, 'id_str': '1160996761370071046', 'name': 'Niamh', 'screen_name': 'niamhphipps03', 'location': 'Swansea ', 'description': 'Swansea City🖤🤍', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 163, 'friends_count': 330, 'listed_count': 0, 'created_at': 'Mon Aug 12 19:29:32 +0000 2019', 'favourites_count': 8216, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1898, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1442545645080825859/nraTtCb5_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1442545645080825859/nraTtCb5_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1160996761370071046/1628235460', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",163,330,adidasstockholm,3_stripes4life,Swansea ,,3,493,0.006085192697768763,0.6085192697768762,0
7,7,1442731036375334918,Tue Sep 28 06:00:58 +0000 2021,"<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>","Providing miles of comfort, the Adidas Cloudfoam Ultimate F34455 Trainers Grey 👟

Now available online and via the… https://t.co/IaU4A8UE5C",Providing miles comfort Adidas Cloudfoam Ultimate F34455 Trainers Grey Now available online via,"Sentiment(polarity=0.11666666666666668, subjectivity=0.5)",0.1166666666666666,0.5,en,0,0,"{'id': 2468049696, 'id_str': '2468049696', 'name': 'Vivi Fashion', 'screen_name': 'vivifashion_uk', 'location': '', 'description': 'Coolest Creps from the Coolest People! We endeavor to give you the best in Branded Footwear Online and In-Store. 🥾🧦👕👒👜', 'url': 'http://t.co/RKrA1dgzPF', 'entities': {'url': {'urls': [{'url': 'http://t.co/RKrA1dgzPF', 'expanded_url': 'http://www.vivifashion.co.uk', 'display_url': 'vivifashion.co.uk', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 82, 'friends_count': 473, 'listed_count': 0, 'created_at': 'Mon Apr 28 17:27:21 +0000 2014', 'favourites_count': 172, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 368, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1271372131482263552/xd482SF2_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1271372131482263552/xd482SF2_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2468049696/1615299216', 'profile_link_color': '000000', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",82,473,,,,,0,555,0.0,0.0,0
8,8,1442722432343740417,Tue Sep 28 05:26:47 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @3_stripes4life: If you live down under then here's your chance to grab the upcoming #adidasstockholm now live via early access over @ad…,If live 's chance grab upcoming live via early access,"Sentiment(polarity=0.12424242424242422, subjectivity=0.43333333333333335)",0.1242424242424242,0.4333333333333333,en,0,3,"{'id': 633913421, 'id_str': '633913421', 'name': 'Tommy', 'screen_name': 'NYCFirm', 'location': 'NYC', 'description': 'Marx in Clarks. #NYCFC #BSFC 1011', 'url': 'https://t.co/YIe71C0cLr', 'entities': {'url': {'urls': [{'url': 'https://t.co/YIe71C0cLr', 'expanded_url': 'https://truebluesnycfc.wordpress.com', 'display_url': 'truebluesnycfc.wordpress.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3453, 'friends_count': 4987, 'listed_count': 75, 'created_at': 'Thu Jul 12 17:49:53 +0000 2012', 'favourites_count': 628364, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 136761, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1422668737711333376/oz1lEXNE_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1422668737711333376/oz1lEXNE_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/633913421/1629315278', 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",3453,4987,adidasstockholm,3_stripes4life,NYC,,3,8440,0.00035545023696682463,0.035545023696682464,0
9,9,1442721241920593920,Tue Sep 28 05:22:03 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",If you live down under then here's your chance to grab the upcoming #adidasstockholm now live via early access over… https://t.co/Cd4s7H0VOK,If live 's chance grab upcoming live via early access,"Sentiment(polarity=0.12424242424242422, subjectivity=0.43333333333333335)",0.1242424242424242,0.4333333333333333,en,16,3,"{'id': 4110081718, 'id_str': '4110081718', 'name': '3.stripes.4life', 'screen_name': '3_stripes4life', 'location': 'England', 'description': 'Showcasing everything that is Adidas New/Vintage.\nTag me for a repost.\nInstagram : 3.stripes4life / vtgadidasarchives', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 8537, 'friends_count': 76, 'listed_count': 14, 'created_at': 'Wed Nov 04 06:16:31 +0000 2015', 'favourites_count': 14531, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 8477, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1363830211205337088/wfqFRodt_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1363830211205337088/wfqFRodt_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4110081718/1544461698', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",8537,76,adidasstockholm,,England,,19,8613,0.0022059677232091025,0.22059677232091024,0
